H,model,split,MAE,RMSE,MAPE,SMAPE,DirAcc
1,Naive,val,0.008264615384615396,0.010572686144386027,0.0019244197022378134,0.0019241786463364077,0.0
1,Naive,test,0.0075061538461538325,0.010920781178032168,0.0017709156403851233,0.0017716653642342998,0.011538461538461539
1,SMA(K=5),val,0.01198061538461535,0.014694897492248497,0.0027922517029753944,0.002790760656504996,0.5076923076923077
1,SMA(K=5),test,0.010049923076923043,0.014853430942689014,0.0023723659464169604,0.00237433081795933,0.5307692307692308
1,EMA(K=5),val,0.010867958214624848,0.01329852614138917,0.0025325635930796954,0.002531420572583081,0.49230769230769234
1,EMA(K=5),test,0.00907294396961067,0.013423858908026446,0.002141660125817556,0.0021432785135309324,0.5346153846153846
1,Ridge,val,0.008456196816315,0.010634553907990361,0.0019695992269573056,0.001969081132238325,0.5230769230769231
1,Ridge,test,0.007692193843325984,0.01118548303503536,0.001815335272059008,0.0018156989262489082,0.5269230769230769
1,ElasticNet,val,0.008309152526264725,0.010566559262695912,0.00193521602528593,0.0019347497166052347,0.5
1,ElasticNet,test,0.007551184446328125,0.01092486311528453,0.0017819257157277058,0.0017823587797038088,0.5038461538461538
1,RandomForest,val,0.00876613008603369,0.011090265047430823,0.002041320494730334,0.002040895576212619,0.45384615384615384
1,RandomForest,test,0.007477240860621581,0.010666988390084337,0.0017646378530353517,0.0017653526085397,0.5038461538461538
1,ExtraTrees,val,0.008856939348016122,0.011035623109594122,0.002062725524434764,0.0020621769303929105,0.49230769230769234
1,ExtraTrees,test,0.007882168506240553,0.011437736713816062,0.0018603863259863442,0.0018611392295706073,0.5346153846153846
1,HistGB,val,0.008645737759245776,0.010903613935576864,0.002013551373221708,0.00201317314291643,0.4846153846153846
1,HistGB,test,0.00772198773290093,0.01099506515483633,0.0018221458622283506,0.0018226383790663618,0.5269230769230769
1,"SARIMAX(1, 1, 1)",val,4.091854148503613,4.1894707811847685,0.9538824483745801,1.9070520415643266,0.5
1,"SARIMAX(1, 1, 1)",test,3.9925155512449972,4.112710714226316,0.942347625956735,1.883815071594938,0.49615384615384617
7,Naive,val,0.020583846153846123,0.026163552158268957,0.004800682582627889,0.004795929464764381,
7,Naive,test,0.015708076923076894,0.023844895438259676,0.0037066024200640927,0.0037118383394359085,
7,SMA(K=5),val,0.020967384615384624,0.02753129430582306,0.0048903049146747255,0.004884866469196994,
7,SMA(K=5),test,0.016283307692307663,0.025103895162059863,0.003842440742161553,0.0038489988905457432,
7,EMA(K=5),val,0.020523029439696156,0.02692891288530931,0.004786722207674642,0.004781501521623949,
7,EMA(K=5),test,0.015857991452991518,0.024418259291228907,0.003742266001826777,0.0037483727764193258,
7,Ridge,val,0.02008213937785812,0.025016517513423417,0.004686845352407327,0.004677735015614647,
7,Ridge,test,0.017702103925669645,0.024739553660702174,0.004180135708582462,0.0041797980083767864,
7,ElasticNet,val,0.02031717628070328,0.025753934561237635,0.004742282518879349,0.004733500803947804,
7,ElasticNet,test,0.017041111633431673,0.024025007075836727,0.004025171852746792,0.004024601735194889,
7,RandomForest,val,0.021742428229182233,0.028551897619985278,0.005079371549161961,0.005069398007987096,
7,RandomForest,test,0.022277084213060034,0.029202206840298856,0.005252139269336177,0.005246976404958109,
7,ExtraTrees,val,0.023318891137502136,0.029237046122637667,0.0054452680458083975,0.005435931031866465,
7,ExtraTrees,test,0.020689155783595974,0.02868693235323671,0.004887419660042671,0.004883748923020076,
7,HistGB,val,0.021596728016474373,0.026997034854719278,0.005044096678949148,0.005033711341292213,
7,HistGB,test,0.017362282082626735,0.025101934873629293,0.004096252343547351,0.0040969530847795345,
7,"SARIMAX(1, 1, 1)",val,4.093110660255917,4.189673083036556,0.954178471695916,1.9078716605958015,
7,"SARIMAX(1, 1, 1)",test,4.009401319609839,4.121374802812156,0.9463107605034258,1.8924384874422737,
30,Naive,val,0.04041307692307689,0.04837790261615788,0.009425106040801932,0.009402280016512483,
30,Naive,test,0.03175615384615386,0.0480191652444025,0.007507957543134874,0.007510084606188026,
30,SMA(K=60),val,0.031613615384615636,0.03991077132955057,0.0073767480836366695,0.007366314926014352,
30,SMA(K=60),test,0.042323551282050925,0.057393200785175645,0.010037997867471313,0.009988082220954405,
30,EMA(K=60),val,0.0330831939163095,0.04107442081472322,0.007720537740942773,0.007707668983519385,
30,EMA(K=60),test,0.039475951410387664,0.053383191594060006,0.009359164594812674,0.009319879333890878,
30,Ridge,val,0.03814128005521255,0.04477271365386099,0.008909227079915573,0.008865719368028057,
30,Ridge,test,0.04077886002506294,0.05094767215257468,0.00964989668080566,0.009610640581102907,
30,ElasticNet,val,0.03734548154008258,0.04455371740482555,0.008724738036713404,0.008685602079927485,
30,ElasticNet,test,0.03920327107201665,0.049295657101141484,0.009281086153175208,0.009245568555028933,
30,RandomForest,val,0.03350787023326196,0.03988999764259401,0.007836934849390725,0.007804706204451226,
30,RandomForest,test,0.04783986073866114,0.06066010502499855,0.011313967081066549,0.011254091166083635,
30,ExtraTrees,val,0.03239509146776813,0.039200615022606106,0.007566372825298056,0.007546239293095233,
30,ExtraTrees,test,0.04462494951441653,0.0560226922293557,0.010569312033677322,0.010522991285307804,
30,HistGB,val,0.035892514660645414,0.042072990350800414,0.008390090686462973,0.008356730434109626,
30,HistGB,test,0.04903043905786895,0.05940466490025921,0.011599678841092467,0.01153253866713189,
30,"SARIMAX(1, 1, 1)",val,4.125165413899364,4.205442432140459,0.9618870871605734,1.92340452078836,
30,"SARIMAX(1, 1, 1)",test,4.059316109909381,4.1469474894817235,0.9579734933264209,1.9156626673478658,
60,Naive,val,0.038790769230769184,0.049366777991183136,0.009056480812455279,0.009031822054559303,
60,Naive,test,0.05087153846153847,0.06680661989307993,0.012055108729327984,0.012005191412855856,
60,SMA(K=60),val,0.026154410256410045,0.03296588466898071,0.006101409960125979,0.006094988325126747,
60,SMA(K=60),test,0.046100775641025174,0.062594561174107,0.010946377967164838,0.010871237444192734,
60,EMA(K=60),val,0.02718885500762412,0.03500841617740169,0.006342696622322872,0.00633554573312356,
60,EMA(K=60),test,0.04495650436291959,0.061923434045817745,0.010677106957411003,0.010600828101372068,
60,Ridge,val,0.040606146461991885,0.04879142082565577,0.009505117106819425,0.009443894436177198,
60,Ridge,test,0.05123524472204344,0.06253111037298162,0.012151894853493475,0.01205526356215064,
60,ElasticNet,val,0.03987116526805618,0.047761915423088545,0.009332402935527544,0.009274589229296509,
60,ElasticNet,test,0.05074615530430121,0.0628448179296885,0.01203952830269701,0.011941133333633166,
60,RandomForest,val,0.03398925365869764,0.040440575516969966,0.00795089348217024,0.00791639966530098,
60,RandomForest,test,0.05582091779794444,0.06934356027918283,0.013246257257896894,0.013133721303779482,
60,ExtraTrees,val,0.028780204414686844,0.03535993369525284,0.006719186197541767,0.006706946096092611,
60,ExtraTrees,test,0.049481049841617455,0.06245788317634766,0.011746026462661574,0.011653577498477579,
60,HistGB,val,0.03222180974854951,0.03883501103892125,0.007535022298693338,0.007506205399141898,
60,HistGB,test,0.04441020109654598,0.061340488488681885,0.010555975193231766,0.010459201412364814,
60,"SARIMAX(1, 1, 1)",val,4.126669114482516,4.207166249479972,0.9618525827612364,1.9233890319576368,
60,"SARIMAX(1, 1, 1)",test,4.12358804807625,4.179493374403097,0.9732844686039485,1.946358037865138,
