H,model,split,MAE,RMSE,MAPE,SMAPE,DirAcc
1,Naive,val,0.008264615384615396,0.010572686144386027,0.0019244197022378134,0.0019241786463364077,0.0
1,Naive,test,0.0075061538461538325,0.010920781178032168,0.0017709156403851233,0.0017716653642342998,0.011538461538461539
1,SMA(K=5),val,0.01198061538461535,0.014694897492248497,0.0027922517029753944,0.002790760656504996,0.5076923076923077
1,SMA(K=5),test,0.010049923076923043,0.014853430942689014,0.0023723659464169604,0.00237433081795933,0.5307692307692308
1,EMA(K=5),val,0.010867958214624848,0.01329852614138917,0.0025325635930796954,0.002531420572583081,0.49230769230769234
1,EMA(K=5),test,0.00907294396961067,0.013423858908026446,0.002141660125817556,0.0021432785135309324,0.5346153846153846
1,Ridge,val,0.008330526654446736,0.010606017763618813,0.0019399468888192035,0.0019393881373340992,0.5538461538461539
1,Ridge,test,0.007645777993272401,0.011085108936804741,0.0018044523893776163,0.0018047844792193823,0.46923076923076923
1,ElasticNet,val,0.008285713226002394,0.010573316495058807,0.0019296406848890433,0.0019291605089421405,0.5076923076923077
1,ElasticNet,test,0.007570462868075702,0.010905986285035297,0.0017865269660255435,0.001786943457716653,0.5230769230769231
1,RandomForest,val,0.008682460142982726,0.011052048528347515,0.0020215805582487903,0.002021189793244148,0.46153846153846156
1,RandomForest,test,0.007464698012319452,0.010711604192160818,0.0017617157645666032,0.0017624530266767413,0.5192307692307693
1,ExtraTrees,val,0.008942209228424633,0.011105477949723823,0.002082914676889625,0.0020823084324295333,0.5
1,ExtraTrees,test,0.007901300175214399,0.011430953176851381,0.0018649762726702045,0.0018657013974871294,0.5384615384615384
1,HistGB,val,0.008638439198628849,0.010897251317855855,0.002011834087794381,0.0020114604864444182,0.49230769230769234
1,HistGB,test,0.007722623311394895,0.010984781446202956,0.0018222917677601885,0.0018227792157880075,0.5269230769230769
1,"SARIMAX(1, 1, 1)",val,4.091854148503613,4.1894707811847685,0.9538824483745801,1.9070520415643266,0.5
1,"SARIMAX(1, 1, 1)",test,3.9925155512449972,4.112710714226316,0.942347625956735,1.883815071594938,0.49615384615384617
7,Naive,val,0.020583846153846123,0.026163552158268957,0.004800682582627889,0.004795929464764381,
7,Naive,test,0.015708076923076894,0.023844895438259676,0.0037066024200640927,0.0037118383394359085,
7,SMA(K=5),val,0.020967384615384624,0.02753129430582306,0.0048903049146747255,0.004884866469196994,
7,SMA(K=5),test,0.016283307692307663,0.025103895162059863,0.003842440742161553,0.0038489988905457432,
7,EMA(K=5),val,0.020523029439696156,0.02692891288530931,0.004786722207674642,0.004781501521623949,
7,EMA(K=5),test,0.015857991452991518,0.024418259291228907,0.003742266001826777,0.0037483727764193258,
7,Ridge,val,0.020335364254634176,0.02567845420124841,0.004746384914750938,0.004736744620935847,
7,Ridge,test,0.017792702064696023,0.0248110965491275,0.004203163226536334,0.004202544865982038,
7,ElasticNet,val,0.020660938526589418,0.02629188577887522,0.004822951281634889,0.004813713005777781,
7,ElasticNet,test,0.01723249691362158,0.024298577627591394,0.004071550010269675,0.004070786069778605,
7,RandomForest,val,0.021537566717073405,0.028507557131330297,0.0050315014957456085,0.005021689991707829,
7,RandomForest,test,0.02221850911752124,0.029210071623974623,0.0052383299455973364,0.005233569198091775,
7,ExtraTrees,val,0.023086166179364983,0.029009712045982267,0.005391292948524484,0.005381920304386265,
7,ExtraTrees,test,0.0206662723384875,0.02856760389067577,0.004881687760291764,0.004877971728254068,
7,HistGB,val,0.02131297603990111,0.026767116856881792,0.004977558754010717,0.004967523759298107,
7,HistGB,test,0.017383677518696575,0.024996918764244834,0.00410237630729806,0.00410273544079056,
7,"SARIMAX(1, 1, 1)",val,4.093110660255917,4.189673083036556,0.954178471695916,1.9078716605958015,
7,"SARIMAX(1, 1, 1)",test,4.009401319609839,4.121374802812156,0.9463107605034258,1.8924384874422737,
30,Naive,val,0.04041307692307689,0.04837790261615788,0.009425106040801932,0.009402280016512483,
30,Naive,test,0.03175615384615386,0.0480191652444025,0.007507957543134874,0.007510084606188026,
30,SMA(K=60),val,0.031613615384615636,0.03991077132955057,0.0073767480836366695,0.007366314926014352,
30,SMA(K=60),test,0.042323551282050925,0.057393200785175645,0.010037997867471313,0.009988082220954405,
30,EMA(K=60),val,0.0330831939163095,0.04107442081472322,0.007720537740942773,0.007707668983519385,
30,EMA(K=60),test,0.039475951410387664,0.053383191594060006,0.009359164594812674,0.009319879333890878,
30,Ridge,val,0.03766014150669507,0.04616581224057158,0.008799725541319572,0.008758033376812828,
30,Ridge,test,0.04113711722278454,0.052565601915343194,0.00974771660425179,0.009699687842963201,
30,ElasticNet,val,0.037370570151922716,0.04573610483854821,0.008732542485358952,0.008692232786969182,
30,ElasticNet,test,0.040511881892336954,0.05177082390665225,0.009598846807716544,0.009553194095300054,
30,RandomForest,val,0.03333044157449153,0.03965720336807421,0.007795056335207538,0.007763550544379302,
30,RandomForest,test,0.04726293098570474,0.06018930020782491,0.011178106959363327,0.011118863456488756,
30,ExtraTrees,val,0.032628753309849816,0.0391408946222834,0.007623098287121857,0.0076003297296958145,
30,ExtraTrees,test,0.04587655178160144,0.056954641967135886,0.01086147181580462,0.0108148172963821,
30,HistGB,val,0.03534502763053675,0.04183893051170332,0.008265801715679474,0.008229894170365666,
30,HistGB,test,0.04902776058231954,0.059323223582956504,0.011601850266126644,0.011531173903382447,
30,"SARIMAX(1, 1, 1)",val,4.125165413899364,4.205442432140459,0.9618870871605734,1.92340452078836,
30,"SARIMAX(1, 1, 1)",test,4.059316109909381,4.1469474894817235,0.9579734933264209,1.9156626673478658,
60,Naive,val,0.038790769230769184,0.049366777991183136,0.009056480812455279,0.009031822054559303,
60,Naive,test,0.05087153846153847,0.06680661989307993,0.012055108729327984,0.012005191412855856,
60,SMA(K=60),val,0.026154410256410045,0.03296588466898071,0.006101409960125979,0.006094988325126747,
60,SMA(K=60),test,0.046100775641025174,0.062594561174107,0.010946377967164838,0.010871237444192734,
60,EMA(K=60),val,0.02718885500762412,0.03500841617740169,0.006342696622322872,0.00633554573312356,
60,EMA(K=60),test,0.04495650436291959,0.061923434045817745,0.010677106957411003,0.010600828101372068,
60,Ridge,val,0.03610160783880533,0.045053519722086335,0.008443896832889916,0.008403285282736095,
60,Ridge,test,0.04854421662608791,0.06558649952437597,0.011535089660673495,0.011422286194466768,
60,ElasticNet,val,0.036741974163806645,0.04543937558001824,0.008593729021761438,0.008552067998717591,
60,ElasticNet,test,0.048566119516944624,0.0657109985227573,0.01154066622301837,0.01142739643132008,
60,RandomForest,val,0.03405428441605832,0.040511593145507965,0.007966070277669586,0.007931480385703049,
60,RandomForest,test,0.055625880438120966,0.06908832867271543,0.013199912610367563,0.013088574651829792,
60,ExtraTrees,val,0.030015290462167,0.03651912060370654,0.007011268293419965,0.006994075407716465,
60,ExtraTrees,test,0.051893348058549796,0.0644089782189601,0.012315410515098121,0.012218808225181857,
60,HistGB,val,0.03282442490891119,0.03928141114825683,0.007676703301934872,0.0076461297624310165,
60,HistGB,test,0.044892907401280144,0.06196681447520327,0.01067053248137487,0.01057221420300876,
60,"SARIMAX(1, 1, 1)",val,4.126669114482516,4.207166249479972,0.9618525827612364,1.9233890319576368,
60,"SARIMAX(1, 1, 1)",test,4.12358804807625,4.179493374403097,0.9732844686039485,1.946358037865138,
